fund_code,month,period_start,period_end,n_periods,nav_begin,nav_end,nav_per_unit_begin,nav_per_unit_end,subscriptions,redemptions,net_flow,chg_investment,chg_distribution,period_days,gross_return,reconcile_residual_vnd,market_return,excess_return,deposit_rate_pct,deposit_rate_provenance,asset_class,fund_name,manager_id,gross_subscription_rate,gross_redemption_rate,net_flow_rate,churn_rate,gross_legs_disclosed,flow_asymmetry
SSI-SCA,2023-12,2023-11-30,2023-12-27,4,535569415260.0,438218536618.0,29363.14,30432.6,16157363317.0,-130932305715.0,-114774942398.0,17424063756.0,0.0,24,0.03642185406601639,0.0,0.032190350131211076,0.004231503934805314,5.3,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20231204024251 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.03016856985598435,0.24447308226411135,-0.214304512408127,0.2746416521200957,True,-0.7803059395900211
SSI-SCA,2024-01,2023-12-28,2024-01-31,5,438218536618.0,481744825381.0,30432.6,32013.33,33566910685.0,-13428178750.0,20138731935.0,23387556828.0,0.0,30,0.05194199641174291,0.0,0.02140840099228125,0.030533595419461657,5.14,"VNDIRECT Research, average 12-month term deposit rate across commercial banks: ""As of January 31, 2024, the average 12-month term deposit interest rate of commercial banks has decreased to 5.14%/year"" (https://www.vndirect.com.vn/cmsupload/beta/Market-Strategy_Feb_20240206.pdf)",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.0765985641412076,0.030642653443264757,0.04595591069794284,0.10724121758447235,True,0.4285284308875366
SSI-SCA,2024-02,2024-02-01,2024-02-28,2,481744825381.0,525078132832.0,32013.33,34430.13,13446963129.0,-12619329818.0,827633311.0,31451771714.0,0.0,12,0.06496125975230971,11053902426.0,0.044424844683596865,0.020536415068712843,4.78,"Shinhan Securities Vietnam, Vietnam Economic Update (25 Mar 2024), indicator table row ""Avg. Deposit rate 12M term of SCBs"", column 02/24 = 4.78% (https://shinhansec.com.vn/uploads/report/Vietnam_economic_update_2402_E.pdf)",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.02791304113825225,0.026195050062073184,0.001717991076179065,0.054108091200325434,True,0.03175109374711655
SSI-SCA,2024-03,2024-02-29,2024-03-27,3,525078132832.0,564408436702.0,34430.13,36221.08,25532011259.0,-11064451424.0,14467559835.0,32385647406.0,0.0,18,0.060917919698946,-7522903371.0,0.014887378552156383,0.046030541146789616,4.7,"Shinhan Securities Vietnam, Vietnam Economic Update (25 Mar 2024): ""Deposit interest rates 12M term at State-owned commercial banks (SCBs) continue to decrease, reaching 4.7% on March 22, 2024"" (https://shinhansec.com.vn/uploads/report/Vietnam_economic_update_2402_E.pdf)",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.04862516578493477,0.02107200953946429,0.027553156245470483,0.06969717532439905,True,0.3953267276216986
SSI-SCA,2024-04,2024-03-28,2024-04-24,4,564408436702.0,559329360286.0,36221.08,35183.48,23933293921.0,-12891340269.0,11041953652.0,-16121030068.0,0.0,24,-0.02864630209811514,0.0,-0.06290843918996047,0.034262137091845335,4.61,"VNDIRECT Research, average 12-month term deposit rate across commercial banks: ""As of April 27, 2024, the average 12-month term deposit interest rate of commercial banks plateaued at around 4.61%"" (https://www.vndirect.com.vn/cmsupload/beta/Econ_Update_20240520.pdf)",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.042404210080290584,0.022840445731689963,0.019563764348600625,0.06524465581198055,True,0.29985236499643286
SSI-SCA,2024-05,2024-04-25,2024-05-29,5,559329360286.0,619791262979.0,35183.48,38155.02,28505919456.0,-15582493177.0,12923426279.0,47538476414.0,0.0,30,0.08445838785702864,0.0,0.02836086809257421,0.05609751976445443,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20240526204434 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.050964461156525316,0.027859244093734425,0.023105217062790888,0.07882370525025974,True,0.2931252342101078
SSI-SCA,2024-06,2024-05-30,2024-06-26,4,619791262979.0,667236920687.0,38155.02,39321.39,47264924015.0,-18554541752.0,28710382263.0,18735275445.0,0.0,24,0.03056924095440161,0.0,-0.0063581665143079835,0.036927407468709594,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20240626111100 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.07625942287056965,0.029936759132128444,0.046322663738441204,0.10619618200269809,True,0.4361989561664684
SSI-SCA,2024-07,2024-06-27,2024-07-31,5,667236920687.0,684028296539.0,39321.39,38913.74,47136845135.0,-23300469909.0,23836375226.0,-7044999374.0,0.0,30,-0.010367130968666038,0.0,-0.006999497326293014,-0.0033676336423730246,4.7,"bridged between observations at 2024-06 and 2024-09, which agree at 4.7%",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.07064483944693438,0.034920834244318175,0.0357240052026162,0.10556567369125255,True,0.3384055058190415
SSI-SCA,2024-08,2024-08-01,2024-08-28,4,684028296539.0,715637419840.0,38913.74,39605.19,36277264245.0,-17621655582.0,18655608663.0,12953514638.0,0.0,24,0.01776878809387128,0.0,0.05782374216486841,-0.04005495407099713,4.7,"bridged between observations at 2024-06 and 2024-09, which agree at 4.7%",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.053034742025371236,0.025761588623103543,0.02727315340226769,0.07879633064847477,True,0.34612212494942624
SSI-SCA,2024-09,2024-08-29,2024-09-25,4,715637419840.0,735806008596.0,39605.19,40261.13,25510878443.0,-17563063476.0,7947814967.0,12220773789.0,0.0,24,0.016561970792211778,0.0,0.0031730726880221383,0.01338889810418964,4.7,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20240906234432 of https://www.agribank.com.vn/vn/lai-suat",equity,SSI Sustainable Competitive Advantage Fund,ssiam,0.03564777041522457,0.02454184617669475,0.011105924238529824,0.06018961659191933,True,0.18451561693484578
