manager_id,fund_key,title,published,reason
vinacapital,vff,20260512_VFF_BC_Ky_Ky-so_20260511.xlsx,2026-05-12,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260507_VFF_BC_Ky_Ky-so_20260506-1.xlsx,2026-05-07,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260505_VFF_BC_Ky_Ky-so_20260504-1.xlsx,2026-05-05,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260428_VFF_BC_Ky_Ky-so_20260427.xlsx,2026-04-28,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260423_VFF_BC_Ky_Ky-so_20260422-1.xlsx,2026-04-23,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260421_VFF_BC_Ky_Ky-so_20260420-1.xlsx,2026-04-21,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260416_VFF_BC_Ky_Ky-so_20260415-1.xlsx,2026-04-16,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260414_VFF_BC_Ky_Ky-so_20260413-1.xlsx,2026-04-14,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260409_VFF_BC_Ky_Ky-so_20260408-1.xlsx,2026-04-09,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260407_VFF_BC_Ky_Ky-so_20260406-1.xlsx,2026-04-07,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260402_VFF_BC_Ky_Ky-so_20260401-1.xlsx,2026-04-02,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260331_VFF_BC_Ky_Ky-so_20260330.xlsx,2026-03-31,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260326_VFF_BC_Ky_Ky-so_20260325-1.xlsx,2026-03-26,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260324_VFF_BC_Ky_Ky-so_20260323.xlsx,2026-03-24,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260319_VFF_BC_Ky_Ky-so_20260318.xlsx,2026-03-19,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260317_VFF_BC_Ky_Ky-so_20260316-1.xlsx,2026-03-17,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260312_VFF_BC_Ky_Ky-so_20260311-1.xlsx,2026-03-12,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260310_VFF_BC_Ky_Ky-so_20260309-1.xlsx,2026-03-10,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260305_VFF_BC_Ky_Ky-so_20260304-1.xlsx,2026-03-05,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260303_VFF_BC_Ky_Ky-so_20260302-1.xlsx,2026-03-03,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260226_VFF_BC_Ky_Ky-so_20260225-1.xlsx,2026-02-26,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260224_VFF_BC_Ky_Ky-so_20260223-1.xlsx,2026-02-24,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260212_VFF_BC_Ky_Ky-so_20260211-1.xlsx,2026-02-12,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260210_VFF_BC_Ky_Ky-so_20260209-1.xlsx,2026-02-10,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260205_VFF_BC_Ky_Ky-so_20260204.xlsx,2026-02-05,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260203_VFF_BC_Ky_Ky-so_20260202.xlsx,2026-02-03,filename matches neither the weekly nor the daily pattern
